Disease,Medicines
Acne,Benzoyl peroxide
Fungal infection,"Antifungal creams (e.g., clotrimazole, miconazole)"
Allergy,"Corticosteroids (e.g., prednisone, hydrocortisone)"
GERD,"Proton pump inhibitors (e.g., omeprazole, pantoprazole)"
AIDS,"Antiretroviral therapy (ART) combinations (e.g., tenofovir/emtricitabine/efavirenz)"
Chronic cholestasis,Ursodeoxycholic acid
Drug Reaction,"Antihistamines (e.g., diphenhydramine)"
Peptic ulcer diseae,"H2 blockers (e.g., ranitidine, famotidine)"
Diabetes,Insulin (various types)
Gastroenteritis,"Antibiotics (in severe cases, if bacterial infection is present)"
Bronchial Asthma,"Short-acting bronchodilators (e.g., albuterol)"
Hypertension,"Diuretics (e.g., hydrochlorothiazide)"
Migraine,"Triptans (e.g., sumatriptan)"
Cervical spondylosis,Nonsteroidal anti-inflammatory drugs (NSAIDs)
Paralysis (brain hemorrhage),Rehabilitation therapy
Jaundice,"Treatment depends on the underlying cause, so it is best to consult a healthcare professional for appropriate medications."
Malaria,"Antimalarial medications (e.g., chloroquine, artemisinin-based combination therapies)"
Chicken pox,"Antiviral medications (e.g., acyclovir)"
Dengue,"Treatment is mainly supportive, including fluids and fever-reducing medications like acetaminophen. Avoid NSAIDs."
Typhoid,"Antibiotics (e.g., ciprofloxacin, azithromycin)"
hepatitis A,"Treatment varies depending on the type and severity of hepatitis, so it is important to consult a healthcare professional for appropriate medications."
Hepatitis B,"Treatment varies depending on the type and severity of hepatitis, so it is important to consult a healthcare professional for appropriate medications."
Hepatitis C,"Treatment varies depending on the type and severity of hepatitis, so it is important to consult a healthcare professional for appropriate medications."
Hepatitis D,"Treatment varies depending on the type and severity of hepatitis, so it is important to consult a healthcare professional for appropriate medications."
Hepatitis E,"Treatment varies depending on the type and severity of hepatitis, so it is important to consult a healthcare professional for appropriate medications."
Alcoholic hepatitis,Alcohol cessation
Common Cold,"Symptomatic relief medications (e.g., analgesics, decongestants)"
Pneumonia,Oxygen therapy in severe cases
Dimorphic hemmorhoids(piles),"Topical creams or ointments (e.g., hydrocortisone, lidocaine)"
Heart attack,Emergency medical attention is crucial.
Varicose veins,Compression stockings
Hypothyroidism,"Thyroid hormone replacement (e.g., levothyroxine)"
Hyperthyroidism,"Antithyroid medications (e.g., methimazole, propylthiouracil)"
Hypoglycemia,"Consuming fast-acting carbohydrates (e.g., glucose tablets, fruit juice)"
Osteoarthristis,"Analgesics (e.g., acetaminophen)"
Arthritis,"Treatment depends on the type of arthritis (e.g., rheumatoid arthritis, osteoarthritis). Consult a healthcare professional for appropriate medications."
(vertigo) Paroymsal  Positional Vertigo,"Canalith repositioning procedures (e.g., Epley maneuver)"
Urinary tract infection,"Antibiotics (e.g., trimethoprim/sulfamethoxazole, nitrofurantoin)"
Psoriasis,Topical corticosteroids
Impetigo,"Topical antibiotics (e.g., mupirocin)"
Acne,"Retinoids (e.g., isotretinoin)"
Acne,"Antibiotics (e.g., tetracycline, erythromycin)"
Fungal infection,"Antifungal oral medications (e.g., fluconazole, terbinafine)"
Allergy,"Antihistamines (e.g., loratadine, cetirizine)"
GERD,"H2 blockers (e.g., ranitidine, famotidine)"
Drug Reaction,"Corticosteroids (e.g., prednisone)"
Peptic ulcer diseae,"Proton pump inhibitors (e.g., omeprazole, lansoprazole)"
Diabetes,"Oral antidiabetic medications (e.g., metformin, glipizide)"
Gastroenteritis,"Antiemetics (e.g., ondansetron)"
Bronchial Asthma,"Inhaled corticosteroids (e.g., fluticasone)"
Bronchial Asthma,"Long-acting bronchodilators (e.g., salmeterol)"
Hypertension,"Calcium channel blockers (e.g., amlodipine)"
Migraine,"NSAIDs (e.g., ibuprofen)"
Migraine,"Antiemetics (e.g., metoclopramide)"
Cervical spondylosis,"Analgesics (e.g., acetaminophen)"
Alcoholic hepatitis,"Medications for symptom management and liver support (e.g., corticosteroids)"
Common Cold,Plenty of fluids and rest
Pneumonia,"Antipyretics (e.g., acetaminophen)"
Pneumonia,Oxygen therapy in severe cases
Dimorphic hemmorhoids(piles),Fiber supplements
Dimorphic hemmorhoids(piles),Sitz baths
Heart attack,"Medications may include aspirin, nitroglycerin, beta-blockers, and statins, among others."
Varicose veins,"Lifestyle modifications (e.g., exercise, leg elevation)"
Varicose veins,"Medical procedures if necessary (e.g., sclerotherapy, laser treatment)"
Hyperthyroidism,Radioactive iodine therapy
Hyperthyroidism,Beta-blockers for symptom relief
Osteoarthristis,Nonsteroidal anti-inflammatory drugs (NSAIDs)
Osteoarthristis,"Topical creams or gels (e.g., diclofenac)"
(vertigo) Paroymsal  Positional Vertigo,"Medications to relieve symptoms (e.g., antihistamines, benzodiazepines)"
Psoriasis,"Vitamin D analogs (e.g., calcipotriene)"
Psoriasis,Systemic medications in severe cases
Impetigo,"Oral antibiotics (e.g., cephalexin)"
